Grades Report for 202408,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
AAH,1010,1,Survey of Art & Arch History I,62%,26%,8%,1%,0%,0%,0%,1%,1%,"Lauritis, Beth Ann",
AAH,2050,1,Art History and Theory I,86%,14%,0%,0%,0%,0%,0%,0%,0%,"Lauritis, Beth Ann",
AAH,3050,1,Contemporary Art History,84%,12%,4%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V",
ACCT,2010,1,Financial Accounting Concepts,21%,15%,36%,18%,0%,0%,0%,9%,0%,"Gibson, Mary Robinson",
ACCT,2010,2,Financial Accounting Concepts,33%,23%,23%,8%,10%,0%,0%,5%,0%,"Gibson, Mary Robinson",
ACCT,2010,3,Financial Accounting Concepts,23%,26%,29%,11%,3%,0%,0%,8%,0%,"Grant, Julie H",
ACCT,2010,4,Financial Accounting Concepts,39%,34%,18%,5%,0%,0%,0%,5%,0%,"Grant, Julie H",
ACCT,2010,5,Financial Accounting Concepts,33%,25%,28%,3%,5%,0%,0%,8%,0%,"Gibson, Mary Robinson",
ACCT,2010,6,Financial Accounting Concepts,18%,44%,13%,8%,10%,0%,0%,8%,0%,"Gibson, Mary Robinson",
ACCT,2010,7,Financial Accounting Concepts,35%,40%,8%,8%,5%,0%,0%,5%,0%,"Grant, Julie H",
ACCT,2010,8,Financial Accounting Concepts,35%,25%,23%,13%,0%,0%,0%,5%,0%,"Grant, Julie H",
ACCT,2010,9,Financial Accounting Concepts,41%,31%,13%,5%,3%,0%,0%,8%,0%,"McMillan, Jeffrey J",
ACCT,2010,10,Financial Accounting Concepts,28%,21%,23%,15%,0%,0%,0%,13%,0%,"McMillan, Jeffrey J",
ACCT,2010,11,Financial Accounting Concepts,34%,29%,29%,3%,3%,0%,0%,2%,0%,"Hollingsworth, Carl W",
ACCT,2010,12,Financial Accounting Concepts,30%,43%,22%,0%,3%,0%,0%,2%,0%,"Tegen, Charles A",
ACCT,2010,13,Financial Accounting Concepts,35%,39%,21%,5%,0%,0%,0%,0%,0%,"Tegen, Charles A",
ACCT,2010,14,Financial Accounting Concepts,10%,15%,31%,23%,8%,0%,0%,13%,0%,"Maiberger, Philip A",
ACCT,2010,15,Financial Accounting Concepts,8%,20%,45%,15%,5%,0%,0%,8%,0%,"Maiberger, Philip A",
ACCT,2010,16,Financial Accounting Concepts,16%,17%,31%,14%,12%,0%,0%,10%,0%,"Maiberger, Philip A",
ACCT,2010,17,Financial Accounting Concepts,41%,45%,11%,1%,1%,0%,0%,1%,0%,"Martin, Caleb Jay",
ACCT,2010,104,Fin Accounting Concepts (HON),78%,22%,0%,0%,0%,0%,0%,0%,0%,"Grant, Julie H",H
ACCT,2010,400,Financial Accounting Concepts,20%,44%,26%,3%,3%,0%,0%,4%,0%,"Madray, J Russell",
ACCT,2010,401,Financial Accounting Concepts,32%,36%,23%,6%,0%,0%,0%,3%,0%,"Madray, J Russell",
ACCT,2010,402,Financial Accounting Concepts,28%,39%,21%,9%,1%,0%,0%,1%,0%,"McCorkle, Emily Suzanne",
ACCT,2010,410,Financial Accounting Concepts,31%,35%,16%,5%,4%,0%,0%,9%,0%,"Madray, J Russell",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, January 7, 2025",,,,,,,,,,,,,Page 1 of 139,
Grades Report for 202408,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
ACCT,2010,411,Financial Accounting Concepts,20%,41%,14%,9%,3%,0%,0%,13%,0%,"Madray, J Russell",
ACCT,2010,412,Financial Accounting Concepts,31%,31%,23%,9%,1%,0%,0%,4%,0%,"McCorkle, Emily Suzanne",
