Grades Report for 202301,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AAH,1020,1,Survey of Art & Arch Hist II,50%,39%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Lauritis, Beth Ann",
AAH,2060,1,Art History and Theory II,79%,5%,11%,0%,0%,0%,0%,0%,5%,0%,0%,0%,"Lauritis, Beth Ann",
ACCT,2010,1,Financial Accounting Conc,72%,18%,5%,3%,0%,0%,0%,2%,0%,0%,0%,0%,"Schleifer, Lydia",
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,2,Financial Accounting Conc,52%,23%,8%,3%,2%,0%,0%,11%,0%,0%,0%,0%,"Schleifer, Lydia",
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,3,Financial Accounting Conc,38%,34%,15%,4%,7%,0%,0%,3%,0%,0%,0%,0%,"Weaver, Andy P",
ACCT,2010,4,Financial Accounting Conc,21%,25%,37%,10%,4%,0%,0%,4%,0%,0%,0%,0%,"Weaver, Andy P",
ACCT,2010,5,Financial Accounting Conc,17%,39%,22%,2%,7%,0%,0%,12%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,6,Financial Accounting Conc,37%,27%,20%,7%,5%,0%,0%,5%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,7,Financial Accounting Conc,21%,30%,33%,9%,3%,0%,0%,3%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,8,Financial Accounting Conc,27%,29%,29%,10%,0%,0%,0%,5%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,9,Financial Accounting Conc,58%,17%,12%,3%,7%,0%,0%,3%,0%,0%,0%,0%,"Schleifer, Lydia",
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,10,Financial Accounting Conc,30%,38%,21%,5%,2%,0%,0%,4%,0%,0%,0%,0%,"Tegen, Charles A",
ACCT,2010,11,Financial Accounting Conc,28%,33%,22%,7%,7%,0%,0%,2%,0%,0%,0%,0%,"McMillan, Jeffrey J",
ACCT,2010,12,Financial Accounting Conc,35%,30%,12%,7%,5%,0%,0%,11%,0%,0%,0%,0%,"McMillan, Jeffrey J",
ACCT,2010,13,Financial Accounting Conc,28%,28%,31%,5%,2%,0%,0%,6%,0%,0%,0%,0%,"Weaver, Andy P",
ACCT,2010,14,Financial Accounting Conc,30%,37%,23%,3%,3%,0%,0%,3%,0%,0%,0%,0%,"Weaver, Andy P",
ACCT,2010,15,Financial Accounting Conc,72%,14%,12%,0%,2%,0%,0%,0%,0%,0%,0%,0%,"Martin, Caleb Jay",
ACCT,2010,16,Financial Accounting Conc,28%,31%,19%,19%,0%,0%,0%,3%,0%,0%,0%,0%,"Schlicksup, Peter",
,,,,,,,,,,,,,,,,James,
ACCT,2010,107,Fin Acct Concepts (HON),86%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Grant, Julie H",H
ACCT,2010,400,Financial Accounting Conc,8%,39%,27%,9%,3%,0%,0%,14%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,2010,401,Financial Accounting Conc,12%,32%,35%,7%,7%,0%,0%,6%,1%,0%,0%,0%,"Madray, J Russell",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Wednesday, July 5, 2023",,,,,,,,,,,,,,,,Page 1 of 151,
Grades Report for 202301,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,2010,402,Financial Accounting Conc,25%,26%,29%,13%,0%,0%,0%,6%,0%,0%,0%,0%,"McCorkle, Emily",
,,,,,,,,,,,,,,,,Suzanne,
ACCT,2010,411,Financial Accounting Conc,22%,28%,30%,10%,0%,0%,0%,9%,0%,0%,0%,0%,"McCorkle, Emily",
,,,,,,,,,,,,,,,,Suzanne,
ACCT,2010,412,Financial Accounting Conc,16%,25%,22%,9%,4%,0%,0%,24%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,2020,1,Managerial Accounting Co,72%,17%,7%,3%,2%,0%,0%,0%,0%,0%,0%,0%,"Martin, Sarah L",
ACCT,2020,2,Managerial Accounting Co,78%,10%,7%,3%,2%,0%,0%,0%,0%,0%,0%,0%,"Martin, Sarah L",
ACCT,2020,3,Managerial Accounting Co,53%,21%,16%,11%,0%,0%,0%,0%,0%,0%,0%,0%,"Garrison J, David",
,,,,,,,,,,,,,,,,Walter,
ACCT,2020,4,Managerial Accounting Co,57%,26%,11%,3%,3%,0%,0%,0%,0%,0%,0%,0%,"Garrison J, David",
,,,,,,,,,,,,,,,,Walter,
ACCT,2020,5,Managerial Accounting Co,60%,26%,10%,2%,0%,0%,0%,0%,2%,0%,0%,0%,"Garrison J, David",
,,,,,,,,,,,,,,,,Walter,
ACCT,2020,6,Managerial Accounting Co,50%,28%,15%,0%,3%,0%,0%,5%,0%,0%,0%,0%,"Garrison J, David",
,,,,,,,,,,,,,,,,Walter,
ACCT,2020,7,Managerial Accounting Co,24%,40%,21%,10%,0%,0%,0%,5%,0%,0%,0%,0%,"Radtke, Robin R",
ACCT,2020,400,Managerial Accounting Co,19%,43%,24%,11%,4%,0%,0%,0%,0%,0%,0%,0%,"McCorkle, Emily",
,,,,,,,,,,,,,,,,Suzanne,
ACCT,2020,401,Managerial Accounting Co,28%,25%,25%,15%,3%,0%,0%,5%,0%,0%,0%,0%,"McCorkle, Emily",
,,,,,,,,,,,,,,,,Suzanne,
ACCT,2020,402,Managerial Accounting Co,20%,40%,18%,14%,3%,0%,0%,5%,0%,0%,0%,0%,"McCorkle, Emily",
,,,,,,,,,,,,,,,,Suzanne,
ACCT,3030,1,Cost Accounting,25%,32%,34%,5%,0%,0%,0%,5%,0%,0%,0%,0%,"Way, Daniel Thomas",
ACCT,3030,2,Cost Accounting,20%,29%,39%,10%,0%,0%,0%,2%,0%,0%,0%,0%,"Way, Daniel Thomas",
ACCT,3030,3,Cost Accounting,14%,55%,24%,2%,5%,0%,0%,0%,0%,0%,0%,0%,"Garrett, Jace B",
ACCT,3030,4,Cost Accounting,29%,43%,12%,5%,5%,0%,0%,7%,0%,0%,0%,0%,"Garrett, Jace B",
ACCT,3030,5,Cost Accounting,17%,45%,31%,0%,5%,0%,0%,2%,0%,0%,0%,0%,"Davis-Culler, Phebian",
,,,,,,,,,,,,,,,,L,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Wednesday, July 5, 2023",,,,,,,,,,,,,,,,Page 2 of 151,
Grades Report for 202301,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3030,6,Cost Accounting,27%,41%,24%,5%,2%,0%,0%,0%,0%,0%,0%,0%,"Davis-Culler, Phebian",
,,,,,,,,,,,,,,,,L,
ACCT,3030,7,Cost Accounting,32%,37%,15%,12%,2%,0%,0%,2%,0%,0%,0%,0%,"Davis-Culler, Phebian",
,,,,,,,,,,,,,,,,L,
ACCT,3030,102,Cost Accounting (HON),71%,14%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Way, Daniel Thomas",H
ACCT,3110,1,Intermediate Financial Acc,15%,28%,40%,10%,3%,0%,0%,5%,0%,0%,0%,0%,"Goodson, Brian",
,,,,,,,,,,,,,,,,Matthew,
ACCT,3110,2,Intermediate Financial Acc,28%,38%,31%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Goodson, Brian",
,,,,,,,,,,,,,,,,Matthew,
ACCT,3110,3,Intermediate Financial Acc,10%,38%,33%,13%,8%,0%,0%,0%,0%,0%,0%,0%,"Philo, Annieka C",
ACCT,3110,4,Intermediate Financial Acc,28%,23%,30%,8%,8%,0%,0%,5%,0%,0%,0%,0%,"Philo, Annieka C",
ACCT,3110,5,Intermediate Financial Acc,17%,34%,37%,6%,6%,0%,0%,0%,0%,0%,0%,0%,"Ledbetter, John",
,,,,,,,,,,,,,,,,Howard,
ACCT,3110,6,Intermediate Financial Acc,26%,34%,29%,6%,6%,0%,0%,0%,0%,0%,0%,0%,"Ledbetter, John",
,,,,,,,,,,,,,,,,Howard,
ACCT,3110,7,Intermediate Financial Acc,18%,30%,25%,13%,15%,0%,0%,0%,0%,0%,0%,0%,"Philo, Annieka C",
ACCT,3110,8,Intermediate Financial Acc,20%,26%,31%,0%,11%,0%,0%,11%,0%,0%,0%,0%,"Philo, Annieka C",
ACCT,3110,9,Intermediate Financial Acc,17%,39%,25%,8%,8%,0%,0%,3%,0%,0%,0%,0%,"Ledbetter, John",
,,,,,,,,,,,,,,,,Howard,
ACCT,3110,10,Intermediate Financial Acc,0%,34%,31%,17%,7%,0%,0%,10%,0%,0%,0%,0%,"Hawkins, Erin",
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,11,Intermediate Financial Acc,12%,32%,29%,21%,3%,0%,0%,3%,0%,0%,0%,0%,"Hawkins, Erin",
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,105,Intermediate Fin Acct I (HO,60%,20%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Ledbetter, John",H
,,,,,,,,,,,,,,,,Howard,
ACCT,3120,1,Intermediate Financial Acc,56%,28%,6%,11%,0%,0%,0%,0%,0%,0%,0%,0%,"Gibson, Mary",
,,,,,,,,,,,,,,,,Robinson,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Wednesday, July 5, 2023",,,,,,,,,,,,,,,,Page 3 of 151,
Grades Report for 202301,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3120,2,Intermediate Financial Acc,67%,27%,3%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Gibson, Mary",
,,,,,,,,,,,,,,,,Robinson,
ACCT,3120,3,Intermediate Financial Acc,56%,33%,8%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Gibson, Mary",
,,,,,,,,,,,,,,,,Robinson,
ACCT,3120,4,Intermediate Financial Acc,28%,39%,28%,3%,3%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,5,Intermediate Financial Acc,41%,34%,22%,0%,0%,0%,0%,0%,3%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,6,Intermediate Financial Acc,49%,30%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,7,Intermediate Financial Acc,35%,27%,35%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,8,Intermediate Financial Acc,31%,39%,28%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Cussatt, Marc A",
ACCT,3120,105,Intermed Fin Acct II (HON),67%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel",H
